"id","content_text","belong_emp_no","data_date","files","created_by","created_time","updated_by","updated_time","is_deleted"
157,【费用报销】今天打车花费11元，目的会议，时间今天11点,"0027022027","2025-12-29","[""https://xiaoxu.lightoffice.cn:8023/aigc/salesassistant/20251229/4b125921-0f3e-4a73-9e97-972aec442fae_20250412112013174442801354239.jpg""]","0027022027","2025-12-29 14:58:32","0027022027","2025-12-29 14:58:32",0
158,"【会议记录】今天开会讨论了售前助手的相关事项  

（注：由于您未提供完整的会议时间、地点等必填信息，系统仅能记录您明确提到的部分内容。如需完整记录，请补充缺失信息。）","0027020476","2025-12-29","","0027020476","2025-12-29 17:18:10","0027020476","2025-12-29 17:18:10",0
159,"【其他进展】今天开会讨论了售前助手的相关事项。  

（注：由于未提供会议时间、地点等完整信息，暂归类为“其他进展”。如需更详细记录，请补充具体内容。）","0027020476","2025-12-29","","0027020476","2025-12-29 17:18:31","0027020476","2025-12-29 17:18:31",0
160,"【会议记录】今天开会讨论了销售日报二期的内容以及排期  

（注：根据规则仍需补充完整会议信息，请提供：会议具体时间、会议地点）","0027020476","2025-12-29","","0027020476","2025-12-29 17:19:53","0027020476","2025-12-29 17:19:53",0
161,"【会议记录】  
- 会议时间：2023年12月29日  
- 会议主题：讨论销售日报二期内容及排期  

（注：根据您提供的信息，已自动补充今日日期作为会议时间，其他未提及信息暂未记录）","0027020476","2025-12-29","","0027020476","2025-12-29 17:20:08","0027020476","2025-12-29 17:20:08",0
162,"【会议记录】今天开会讨论了销售日报二期的内容以及项目排期（时间：2023年12月29日，地点：线上会议，主题：销售日报二期开发计划）

如需补充其他工作内容，请提供：
1. 客户拜访信息（客户名称/交流事项等）
2. 费用报销明细（金额/用途）
3. 其他工作进展说明","0027020476","2025-12-29","","0027020476","2025-12-29 17:20:16","0027020476","2025-12-29 17:20:16",0
163,"【会议记录】今天开会讨论了销售日报二期的内容以及项目排期。  

（注：根据您提供的信息，当前记录缺少会议时间和地点等必填信息，建议后续补充完整）","0027020476","2025-12-29","","0027020476","2025-12-29 17:20:41","0027020476","2025-12-29 17:20:41",0
164,【会议记录】今天11点 成都高升桥 主题:浩鲸AI发展,"0027022027","2025-12-30","","0027022027","2025-12-30 11:25:43","0027022027","2025-12-30 18:04:19",1
165,【会议记录】我今天去阿里中心开了一个会。会议时间：今天，会议主题：关于 AI 建设,"0027017954","2025-12-30","","0027017954","2025-12-30 17:34:49","0027017954","2025-12-30 17:43:03",1
166,【费用报销】报备一个费用七十五块,"0027017954","2025-12-30","","0027017954","2025-12-30 17:36:28","0027017954","2025-12-30 17:43:04",1
167,【费用报销】金额：75元，目的：未说明，时间：今天,"0027017954","2025-12-30","","0027017954","2025-12-30 17:36:42","0027017954","2025-12-30 17:43:05",1
168,【会议记录】今天去阿里中心开了一个会，主题是关于 AI 大模型的开发,"0027017954","2025-12-30","","0027017954","2025-12-30 17:44:35","0027017954","2025-12-30 17:49:30",1
169,【会议记录】今天开了一个会，在成都银泰中心 AI 大模型的会议。时间是今天下午。,"0027017954","2025-12-30","","0027017954","2025-12-30 17:47:36","0027017954","2025-12-30 17:57:50",1
170,【会议记录】在银泰城开了一个会，会议时间是今天，关于 AI 大模型的开发。,"0027017954","2025-12-30","","0027017954","2025-12-30 17:50:25","0027017954","2025-12-30 18:14:52",1
171,【其他进展】我今天完成销售助手的开发,"0027017903","2025-12-30","","0027017903","2025-12-30 17:50:47","0027017903","2025-12-30 17:50:47",0
172,【其他进展】我今天完成PPT生成的技术调研，技术链路已打通，实现PPT在线预览、编辑、拖拽、排序、在线预览等功能。,"0027017903","2025-12-30","","0027017903","2025-12-30 17:53:51","0027017903","2025-12-30 17:53:51",0
173,【费用报销】花费11元 会议打车 去成都银泰城开会,"0027022027","2025-12-30","","0027022027","2025-12-30 17:55:08","0027022027","2025-12-30 18:04:17",1
174,"【费用报销】金额：167.5元，目的：请客户吃饭，时间：2023-11-15  

（注：系统自动采用当前日期作为""今天""的日期）","0027017954","2025-12-30","","0027017954","2025-12-30 17:55:35","0027017954","2025-12-30 17:57:45",1
175,"【费用报销】金额：167.5元，目的：请客户吃饭，时间：2023-11-15  

（已根据您提供的信息生成完整报销记录）","0027017954","2025-12-30","","0027017954","2025-12-30 17:55:42","0027017954","2025-12-30 18:10:42",1
176,"【会议记录】  
时间：11点  
地点：西安钟楼  
会议主题：阿里巴巴合作  

✅ 日报记录已补全完成：【费用报销】  
金额：11元  
目的：去西安会议打车  
时间：今天11点","0027022027","2025-12-30","","0027022027","2025-12-30 18:00:46","0027022027","2025-12-30 18:03:58",1
177,"【会议记录】  
时间：11点  
地点：西安钟楼  
会议主题：阿里巴巴合作  

✅ 日报记录已补全完成：【费用报销】  
金额：11元  
目的：去西安会议打车  
时间：今天11点","0027022027","2025-12-30","","0027022027","2025-12-30 18:02:17","0027022027","2025-12-30 18:04:00",1
178,"【会议记录】  
时间：11点  
地点：西安钟楼  
会议主题：阿里巴巴合作  

✅ 日报记录已补全完成：【费用报销】  
金额：11元  
目的：去西安会议打车  
支付时间：今天11点  

✅ 日报记录已补全完成：【费用报销】  
金额：10元  
目的：会议花费  
支付时间：未提供","0027022027","2025-12-30","","0027022027","2025-12-30 18:02:54","0027022027","2025-12-30 18:04:02",1
179,"【会议记录】去成都银泰开会 花费11元 目的 开会 时间今天11点  
✅ 日报记录已补全完成：【费用报销】花费11元 目的 开会 时间今天11点","0027022027","2025-12-30","","0027022027","2025-12-30 18:04:41","0027022027","2025-12-30 18:11:30",1
180,【会议记录】去成都银泰开会 花费11元 目的开会 时间今天11点,"0027022027","2025-12-30","","0027022027","2025-12-30 18:04:51","0027022027","2025-12-30 18:11:28",1
181,【会议记录】去西安开会 会议时间 昨天10点 主题和阿里巴巴合作,"0027022027","2025-12-30","","0027022027","2025-12-30 18:06:20","0027022027","2025-12-30 18:11:27",1
182,【费用报销】今天10点 话费10元 打车,"0027022027","2025-12-30","","0027022027","2025-12-30 18:11:50","0027022027","2025-12-30 18:11:50",0
183,【费用报销】话费10元 打车 时间：今天10点,"0027022027","2025-12-30","","0027022027","2025-12-30 18:12:07","0027022027","2025-12-30 18:12:07",0
184,【费用报销】花费11元 成都银泰城 今天11点 目的 打车,"0027022027","2025-12-31","","0027022027","2025-12-31 09:14:00","0027022027","2025-12-31 09:43:46",1
185,【费用报销】花费11元 目的 吃饭 时间 今天12点,"0027022027","2025-12-31","","0027022027","2025-12-31 09:14:52","0027022027","2025-12-31 09:43:48",1
186,【会议记录】去成都西博城 会议 今天10点 和阿里巴巴合作事项,"0027022027","2025-12-31","","0027022027","2025-12-31 09:16:47","0027022027","2025-12-31 09:43:49",1
187,【会议记录】参加项目组周会，时间今天11点，地点西藏林芝,"0027022027","2025-12-31","","0027022027","2025-12-31 09:30:40","0027022027","2025-12-31 09:43:50",1
188,【会议记录】参加项目组周会，会议时间今天11点，地点西藏林芝,"0027022027","2025-12-31","","0027022027","2025-12-31 09:30:49","0027022027","2025-12-31 09:43:52",1
189,"【其他进展】[今天还没有记录工作日志]  

请按以下格式提供您的销售日报内容：  

**1. 会议记录**  
- 关键词：会议、讨论、周会  
- 必填信息：会议时间、地点、会议主题  

**2. 客户拜访**  
- 关键词：拜访、客户、交流  
- 必填信息：拜访时间、客户名称、交流事项、下一步安排  

**3. 费用报销**  
- 关键词：花费、支付、金额  
- 必填信息：金额、用途、时间  

**4. 其他工作进展**  
- 关键词：其他未归类事项  
- 必填信息：具体工作内容  

**示例：**  
""今天上午10点拜访了客户A，讨论了产品需求，约定下周提供方案""  

请提供您要记录的具体工作内容，我将帮您整理成规范的日报格式。","0027017903","2025-12-31","","0027017903","2025-12-31 09:42:02","0027017903","2025-12-31 09:42:02",0
190,【费用报销】今天11点打车花费11元，目的：外出,"0027022027","2025-12-31","","0027022027","2025-12-31 09:44:25","0027022027","2025-12-31 10:41:21",1
191,【费用报销】花费11元 打车 目的会议 时间今天11点,"0027022027","2025-12-31","","0027022027","2025-12-31 09:57:08","0027022027","2025-12-31 10:41:23",1
192,【费用报销】花费12元 今天11点 目的会议,"0027022027","2025-12-31","","0027022027","2025-12-31 09:58:38","0027022027","2025-12-31 10:41:24",1
193,【费用报销】打车花费10元 目的 互联网大会使用 时间今天11点,"0027022027","2025-12-31","","0027022027","2025-12-31 10:04:47","0027022027","2025-12-31 10:41:26",1
194,【费用报销】吃饭花费1元。目的吃饭. 时间今天11点,"0027022027","2025-12-31","","0027022027","2025-12-31 10:05:58","0027022027","2025-12-31 10:41:28",1
195,【费用报销】打车花费11元 目的打车 时间今天11点,"0027022027","2025-12-31","","0027022027","2025-12-31 10:11:22","0027022027","2025-12-31 10:41:27",1
196,【费用报销】今天打车花费10元,"0027017903","2025-12-31","","0027017903","2025-12-31 10:52:01","0027017903","2025-12-31 10:52:01",0
197,【费用报销】今天上午打车花费10元，吃饭花了1元,"0027017903","2025-12-31","","0027017903","2025-12-31 10:52:47","0027017903","2025-12-31 10:52:47",0
198,【会议记录】会议时间早上十点地点，主题 AI 会议。,"0027022027","2025-12-31","","0027022027","2025-12-31 11:08:45","0027022027","2025-12-31 11:08:45",0
199,【费用报销】落地打车花费10元,"0027022027","2025-12-31","","0027022027","2025-12-31 11:09:10","0027022027","2025-12-31 11:09:10",0
200,【费用报销】9元 目的吃饭 早上9点,"0027022027","2025-12-31","","0027022027","2025-12-31 11:10:17","0027022027","2025-12-31 11:10:17",0
201,"【其他进展】交流大模型开发  

（根据规则，未识别到会议/客户拜访/费用关键词，归类为其他进展，该类型无必填信息要求）","0027017954","2025-12-31","","0027017954","2025-12-31 14:24:52","0027017954","2025-12-31 14:31:08",1
202,"【其他进展】交流大模型开发  

（已根据您最后确认的有效信息生成记录，内容严格保持原始表述）","0027017954","2025-12-31","","0027017954","2025-12-31 14:25:13","0027017954","2025-12-31 14:31:06",1
203,【费用报销】花费200元，请客户吃饭，今天中午,"0027017954","2025-12-31","","0027017954","2025-12-31 14:31:00","0027017954","2025-12-31 14:31:00",0
204,【费用报销】金额：9923元 目的：因公出差到北京，差旅费用报销 时间：2026-1-2,"0027017903","2026-01-05","[""https://xiaoxu.lightoffice.cn:8023/aigc/salesassistant/20260105/c27420ab-95c3-4bd7-be4a-2be211763159_6c297163-4f75-48f3-aaa4-280104f46c1b_d784e0991477b5a84f4ed1de4f1693c7.png""]","0027017903","2026-01-05 14:15:06","0027017903","2026-01-05 14:15:06",0
205,【客户拜访】今天10点去西部智谷见了DD集图的杨总，我方陪同人员吴俊，确定了健康分析项目二期需求和排期,"0027020476","2026-01-09","","0027020476","2026-01-09 11:21:44","0027020476","2026-01-09 11:21:44",0
206,【客户拜访】今天9点去西部智谷见了DD集图的李总，我方陪同人员吴俊，确定了健康分析项目二期需求和设计,"0027020476","2026-01-09","","0027020476","2026-01-09 11:22:40","0027020476","2026-01-09 11:22:40",0
207,【客户拜访】今天9点去西部智谷见了DD集图的李总，我方陪同人员吴俊，确定了健康分析项目二期需求和设计,"0027020476","2026-01-09","","0027020476","2026-01-09 11:22:54","0027020476","2026-01-09 11:22:54",0
208,【费用报销】今天打车花费11元，目的开会，时间今天上午11点,"0027022027","2026-01-12","[""https://byai.iwhalecloud.com/cdc/aigc/salesassistant/20260112/ab7d32ad-89f2-4122-a20b-bd8d4bcd9a64_ppt_20260112063118.png""]","0027022027","2026-01-12 18:45:32","0027022027","2026-01-12 18:45:32",0
209,【客户拜访】今天出差广州，与广研百应团队讨论销售分析助手二期的方案。拜访时间：今天，地点：广州，客户名称：广研百应团队，我方陪同人员：何洪兴，交流事项：讨论销售分析助手演示计划，下一步安排：内部演示通过后再给领导演示,"0027028836","2026-01-13","","0027028836","2026-01-13 16:38:06","0027028836","2026-01-13 16:38:06",0
210,【费用报销】从公司去南京禄口机场打车费58元，从广州机场去广研打车109元。目的：去广州研发中心，时间 2026年1月13号,"0027028836","2026-01-13","","0027028836","2026-01-13 16:46:05","0027028836","2026-01-13 16:46:05",0
211,【会议记录】2026年1月19号上午参加百应智能体日会，反馈了销售分析助手智能体权限没有控制住，推进比较缓慢的问题。主管要求继续群里向黄升反馈，如果不行就需要上升问题，直到权限问题得到解决,"0027028836","2026-01-19","","0027028836","2026-01-19 10:40:33","0027028836","2026-01-19 11:07:23",1
212,【会议记录】今天上午（2026年1月19号）参加百应智能体日会，反馈了销售分析助手智能体权限没有控制住，推进比较缓慢的问题。主管要求继续群里向黄升反馈，如果不行就需要上升问题，直到权限问题得到解决,"0027028836","2026-01-19","","0027028836","2026-01-19 10:40:35","0027028836","2026-01-19 11:07:27",1
213,【会议记录】今天上午（2026年1月19号）参加百应智能体日会，反馈了销售分析助手智能体权限没有控制住，推进比较缓慢的问题。主管要求继续群里向黄升反馈，如果不行就需要上升问题，直到权限问题得到解决,"0027028836","2026-01-19","","0027028836","2026-01-19 11:08:13","0027028836","2026-01-19 11:08:13",0
214,【会议记录】2026年1月19号在南京华博参加百应智能体日会，反馈了销售分析助手智能体权限没有控制住，推进比较缓慢的问题。主管要求继续群里向黄升反馈，如果不行就需要上升问题，直到权限问题得到解决,"0027028836","2026-01-19","","0027028836","2026-01-19 11:11:23","0027028836","2026-01-19 11:11:23",0
215,"【客户拜访】拜访时间：下午，地点：南京软件谷管委会，客户名称：南京软件谷管委会，交流事项：沟通智能体平台搭建的合作事宜  
✅ 日报记录已补全完成：【费用报销】金额：28元，目的：打车，时间：下午","0027028836","2026-01-19","[""https://byai.iwhalecloud.com/cdc/aigc/salesassistant/20260119/0916e51d-5b00-4860-922b-1d68dcb433a3_screenshot_2026-01-19_11-13-12.png"", ""https://byai.iwhalecloud.com/cdc/aigc/salesassistant/20260119/b9b4f844-e185-44c6-82fa-a8bae6be231b_screenshot_2026-01-19_11-13-12.png""]","0027028836","2026-01-19 11:23:40","0027028836","2026-01-19 11:23:40",0
216,【会议记录】今天下午2点参加了销售日报助手的需求评审会议，里程碑节点是19号提测，23号上线,"0027028836","2026-01-19","","0027028836","2026-01-19 13:50:36","0027028836","2026-01-19 13:50:36",0
217,【会议记录】2026年1月19号在南京华博智慧园参加百应智能体销售日报助手需求评审会,"0027028836","2026-01-19","","0027028836","2026-01-19 14:28:52","0027028836","2026-01-19 14:28:52",0
218,【其他进展】记录一个新客户跟进,"0027028836","2026-01-19","","0027028836","2026-01-19 14:47:14","0027028836","2026-01-19 14:47:14",0
219,【项目会议】今天上午参加了数马探一探项目的周会，本次任务是测试多模态功能，负责人胡冰，提测时间19号，演示时间23号，上线时间25号,"0027029682","2026-01-19","","0027029682","2026-01-19 15:38:05","0027029682","2026-01-19 17:04:07",1
220,【出差拜访】2026年1月19号下午出差去广州，拜访小马科技讨论路测的要求，并将在23号和24号进行现场路测,"0027029682","2026-01-19","","0027029682","2026-01-19 15:40:39","0027029682","2026-01-19 15:40:39",0
221,【交通出行】打车去南京南站花费28元,"0027029682","2026-01-19","[""https://byai.iwhalecloud.com/cdc/aigc/salesassistant/20260119/318637da-3001-4e8f-a669-eaa616678c8b_打车发票.png""]","0027029682","2026-01-19 15:41:46","0027029682","2026-01-19 15:41:46",0
222,【机票销售】胡冰，航班号：232323，出发地南京，目的地广州，2026年1月19号出发，票价980元,"0027029682","2026-01-19","","0027029682","2026-01-19 15:43:04","0027029682","2026-01-19 15:43:04",0
223,【费用报销】从广州机场打车去小马科技花费108元,"0027029682","2026-01-19","","0027029682","2026-01-19 15:45:38","0027029682","2026-01-19 15:45:38",0
224,【会议记录】与小马科技研发总监王升开会，共同确认路测的细节，会议确认，路测时间20号和21号，路测地点在封闭的园区，使用支付宝扫码开门，下车后使用支付宝支付，重点验证：是否可以正常开门，路线是否正常展示,"0027029682","2026-01-19","","0027029682","2026-01-19 15:48:01","0027029682","2026-01-19 15:48:01",0
225,【商务宴请】晚上，请小马科技研发总监王总（王升）吃饭，推广出行智能体业务，花费350元,"0027029682","2026-01-19","","0027029682","2026-01-19 15:49:53","0027029682","2026-01-19 15:49:53",0
226,【交通记录】晚餐后打车会酒店，花费55元（滴滴）,"0027029682","2026-01-19","","0027029682","2026-01-19 15:50:32","0027029682","2026-01-19 15:50:32",0
227,【客户拜访】2026年1月19号下午2点去阿里中心拜访河图智能体公司王总，我方陪同人员张培，交流智能体项目如何快速落地，王总对鲸智百应很感兴趣，下一步将来我司参观大模型在公司落地的情况,"0027029682","2026-01-19","","0027029682","2026-01-19 16:45:19","0027029682","2026-01-19 16:45:19",0
228,【费用报销】机票880元 飞机，晚上8点,"0027029682","2026-01-19","","0027029682","2026-01-19 17:03:45","0027029682","2026-01-19 17:03:45",0
229,【客户拜访】2026年1月20号上午，南京阿里中心，拜访阿里云智能生态运营中心经理王琦，我方陪同人员张岩，交流云运维人力外包的事项。王经理对人力外包的价格不是很满意，需要再考虑考虑，下一步安排继续沟通推进,"0027028836","2026-01-20","","0027028836","2026-01-20 10:12:50","0027028836","2026-01-20 10:12:50",0
230,【费用报销】打车去阿里中心花费22元,"0027028836","2026-01-20","","0027028836","2026-01-20 10:15:39","0027028836","2026-01-20 10:15:39",0
231,【客户拜访】下午拜访了扬子石化信息中心王主任和李处长，汇报了扬子项目当前的进展，以及希望扬子能够追加合同外新增需求的金额，李主任没有同意，需要继续跟进。拜访时间：下午，地点：扬子石化，我方陪同人员：无，交流事项：扬子项目变更需求金额追加，意向结果：李主任不同意，下一步安排：将继续沟通,"0027028836","2026-01-20","","0027028836","2026-01-20 10:22:44","0027028836","2026-01-20 10:22:44",0
232,【费用报销】2026年1月20号晚上跟王主任吃饭花费350元,"0027028836","2026-01-20","","0027028836","2026-01-20 10:25:30","0027028836","2026-01-20 10:25:30",0
233,【会议记录】今天上午参加百应智能体日会，反馈了销售分析助手智能体权限没有控制住，推进比较缓慢的问题。主管要求继续群里向黄升反馈，如果不行就需要上升问题，直到权限问题得到解决。会议时间：2026年1月19号,"0027022027","2026-01-20","","0027022027","2026-01-20 10:50:30","0027022027","2026-01-20 16:22:05",1
234,【会议记录】今天上午在成都银泰城参加百应智能体日会，反馈了销售分析助手智能体权限没有控制住，推进比较缓慢的问题。主管要求继续群里向黄升反馈，如果不行就需要上升问题，直到权限问题得到解决,"0027022027","2026-01-20","","0027022027","2026-01-20 11:04:00","0027022027","2026-01-20 16:22:07",1
235,【客户拜访】拜访时间：下午，地点：南京软件谷管委会，客户名称：南京软件谷管委会，我方陪同人员：张帅，交流事项：沟通智能体平台搭建的合作事宜，意向结果：初步达成，下一步安排：继续推进,"0027028836","2026-01-20","","0027028836","2026-01-20 11:11:48","0027028836","2026-01-20 11:11:48",0
236,【客户拜访】拜访时间：下午，地点：南京软件谷管委会，客户名称：南京软件谷管委会，我方陪同人员：张三，交流事项：沟通智能体平台搭建的合作事宜，意向结果：合作，下一步安排：下周二继续约谈,"0027022027","2026-01-20","","0027022027","2026-01-20 11:13:15","0027022027","2026-01-20 16:22:08",1
237,【费用报销】打车去阿里中心花费22元,"0027022027","2026-01-20","","0027022027","2026-01-20 11:37:23","0027022027","2026-01-20 15:59:02",1
238,【会议记录】2026年1月20号上午，南京华博参加百应智能体日会，反馈了销售分析助手智能体权限没有控制住，推进比较缓慢的问题。主管要求继续群里向黄升反馈，如果不行就需要上升问题，直到权限问题得到解决,"0027029682","2026-01-20","","0027029682","2026-01-20 14:52:07","0027029682","2026-01-20 14:52:07",0
239,【客户拜访】拜访时间：下午，地点：南京软件谷管委会，客户名称：南京软件谷管委会，我方陪同人员：张强，交流事项：沟通智能体平台搭建的合作事宜，意向结果：有购买意向但需要再深入了解一下，下一步安排：将继续推进,"0027029682","2026-01-20","","0027029682","2026-01-20 15:33:21","0027029682","2026-01-20 15:33:21",0
240,【费用报销】飞机票880元，出差，2026年1月20号下午,"0027029682","2026-01-20","","0027029682","2026-01-20 15:36:17","0027029682","2026-01-20 15:36:17",0
241,【费用报销】打车去阿里中心花费22元,"0027029682","2026-01-20","","0027029682","2026-01-20 15:41:34","0027029682","2026-01-20 15:42:59",1
242,【客户拜访】下午拜访了扬子石化信息中心王主任和李处长，汇报了扬子项目当前的进展，以及希望扬子能够追加合同外新增需求的金额，李主任没同意，需要继续跟进。地点：扬子石化。我方陪同人员：无。下一步安排：继续跟进,"0027029682","2026-01-20","","0027029682","2026-01-20 15:49:54","0027029682","2026-01-20 15:49:54",0
243,【费用报销】打车去阿里中心花费22元,"0027022027","2026-01-20","","0027022027","2026-01-20 16:00:23","0027022027","2026-01-20 16:22:10",1
244,"【费用报销】打车 11元 目的 打车, 上午","0027022027","2026-01-20","","0027022027","2026-01-20 16:02:16","0027022027","2026-01-20 16:22:11",1
245,【费用报销】打车去阿里中心花费22元,"0027022027","2026-01-20","","0027022027","2026-01-20 16:22:15","0027022027","2026-01-20 16:22:20",1
246,【费用报销】打车去阿里中心花费22元 上午,"0027022027","2026-01-20","","0027022027","2026-01-20 16:25:57","0027022027","2026-01-20 16:28:46",1
247,【费用报销】吃饭 下午 花了11元,"0027022027","2026-01-20","","0027022027","2026-01-20 16:26:38","0027022027","2026-01-20 16:28:48",1
248,【费用报销】住宿100元 昨天,"0027022027","2026-01-20","","0027022027","2026-01-20 16:28:41","0027022027","2026-01-20 16:28:49",1
249,【费用报销】点了100杯奶茶 花费100元 招待客户 下午,"0027022027","2026-01-20","","0027022027","2026-01-20 16:29:53","0027022027","2026-01-20 16:29:53",0
250,【费用报销】点奶茶花费11元,"0027022027","2026-01-20","","0027022027","2026-01-20 16:38:05","0027022027","2026-01-20 16:38:05",0
251,【费用报销】打车花费11元,"0027022027","2026-01-20","","0027022027","2026-01-20 16:38:35","0027022027","2026-01-20 16:38:35",0
252,【费用报销】打车花费11元 下午,"0027022027","2026-01-20","","0027022027","2026-01-20 16:42:57","0027022027","2026-01-20 16:42:57",0
253,【费用报销】找领导喝茶 花费100元,"0027022027","2026-01-20","","0027022027","2026-01-20 16:43:31","0027022027","2026-01-20 16:43:31",0
254,【费用报销】打车去阿里中心花费11元,"0027022027","2026-01-20","","0027022027","2026-01-20 16:43:51","0027022027","2026-01-20 16:43:51",0
255,【费用报销】打车去阿里中心花费22元 时间：下午,"0027029682","2026-01-20","","0027029682","2026-01-20 16:52:36","0027029682","2026-01-20 16:52:36",0
256,【费用报销】打车花费88元 下午,"0027029682","2026-01-20","","0027029682","2026-01-20 16:53:20","0027029682","2026-01-20 16:53:20",0
257,【费用报销】打车55元，回酒店，晚上10点,"0027029682","2026-01-20","","0027029682","2026-01-20 16:54:38","0027029682","2026-01-20 16:54:38",0
258,【会议记录】参加软件谷智慧园区项目终验会议，会议结果：终验通过，下午，软件谷管委会,"0027029682","2026-01-20","","0027029682","2026-01-20 16:56:53","0027029682","2026-01-20 16:56:53",0
259,"【费用报销】今天xxxx年xx月xx日下午打车花费11元
✅ 日报记录已补全完成：【费用报销】今天xxxx年xx月xx日下午吃饭花费","0027022027","2026-01-20","","0027022027","2026-01-20 17:10:05","0027022027","2026-01-20 17:10:05",0
260,【费用报销】去阿里中心打车花费11元 下午,"0027022027","2026-01-20","","0027022027","2026-01-20 17:11:27","0027022027","2026-01-20 17:11:27",0
