project_project_code,project_project_name,project_project_status,task_name,task_status,handler_user_user_name,plan_finish_time
PROJ00000018,南京银行-BI-实施项目,完成回款,南京银行BI需求,正常结束,,2026-02-12 00:00:00
PROJ00000018,南京银行-BI-实施项目,完成回款,南京银行BI开发,正常结束,,2026-04-14 00:00:00
PROJ00000020,苏省数据-CRM-实施项目,收入确认,苏省数据CRM需求,处理中,,2026-04-09 00:00:00
PROJ00000020,苏省数据-CRM-实施项目,收入确认,苏省数据CRM开发,处理中,,2026-05-27 09:37:49.938468
PROJ00000022,浙大-BI-实施项目,完成回款,浙大BI需求,正常结束,,2026-03-13 00:00:00
PROJ00000023,阿里巴巴-数据工厂-实施项目,收入确认,阿里DF需求,处理中,,2026-03-05 00:00:00
PROJ00000023,阿里巴巴-数据工厂-实施项目,收入确认,阿里DF设计,处理中,,2026-04-06 00:00:00
PROJ00000026,腾讯-数据工厂-实施项目,收入确认,腾讯DF需求,处理中,,2026-04-09 00:00:00
PROJ00000031,建行天津-BI-实施项目,收入确认,建行天津BI需求,处理中,,2026-03-04 00:00:00
PROJ00000033,农行山东-BI-实施项目,收入确认,农行山东BI需求,处理中,,2026-03-07 00:00:00
PROJ00000033,农行山东-BI-实施项目,收入确认,农行山东BI开发,处理中,,2026-04-09 00:00:00
PROJ00000035,重庆农商-BI-实施项目,收入确认,重庆农商BI需求,处理中,,2026-04-05 00:00:00
PROJ00000038,厦门国际银行-BI-实施项目,收入确认,厦门国际BI需求,处理中,,2026-04-08 00:00:00
PROJ00000041,北京银行-BI-实施项目,收入确认,北京银行BI需求,处理中,,2026-03-06 00:00:00
PROJ00000041,北京银行-BI-实施项目,收入确认,北京银行BI开发,处理中,,2026-04-07 00:00:00
PROJ00000042,广州农商银行-BI-实施项目,完成回款,广州农商BI需求,正常结束,,2026-01-15 00:00:00
PROJ00000042,广州农商银行-BI-实施项目,完成回款,广州农商BI开发,正常结束,,2026-03-17 00:00:00
PROJ00000042,广州农商银行-BI-实施项目,完成回款,广州农商BI测试,正常结束,,2026-03-25 00:00:00
PROJ00000043,长沙银行-BI-实施项目,收入确认,长沙银行BI需求,处理中,,2026-03-04 00:00:00
PROJ00000043,长沙银行-BI-实施项目,收入确认,长沙银行BI开发,处理中,,2026-04-05 00:00:00
PROJ00000055,福州银行-BI-实施项目,完成回款,福州银行BI需求,正常结束,,2025-12-10 00:00:00
PROJ00000055,福州银行-BI-实施项目,完成回款,福州银行BI开发,正常结束,,2026-02-12 00:00:00
PROJ00000055,福州银行-BI-实施项目,完成回款,福州银行BI测试,正常结束,,2026-02-19 00:00:00
PROJ00000061,沪大数据-CRM-实施项目,完成回款,沪大数据CRM需求,正常结束,,2025-12-12 00:00:00
PROJ00000061,沪大数据-CRM-实施项目,完成回款,沪大数据CRM开发,正常结束,,2026-02-14 00:00:00
PROJ00000062,北京大数据-BI-实施项目,收入确认,北京大数据BI需求,处理中,,2026-03-05 00:00:00
PROJ00000081,北京协和-BI-实施项目,收入确认,北京协和BI需求,处理中,,2026-03-08 00:00:00
PROJ00000082,川省人民医院-BI-实施项目,项目上线,川省人民医院BI需求,处理中,,2026-04-06 00:00:00
PROJ00000086,浙省人民医院-BI-实施项目,项目上线,浙省人民医院BI需求,处理中,,2026-04-13 00:00:00
PROJ00000088,鄂省人民医院-BI-实施项目,收入确认,鄂省人民医院BI需求,处理中,,2026-03-04 00:00:00
PROJ00000090,上交大-CRM-实施项目,完成回款,上交大CRM需求,正常结束,,2025-12-11 00:00:00
PROJ00000090,上交大-CRM-实施项目,完成回款,上交大CRM开发,正常结束,,2026-02-13 00:00:00
PROJ00000096,移动广东-MASS-实施项目,完成回款,移动广东MASS需求,正常结束,,2025-12-13 00:00:00
PROJ00000096,移动广东-MASS-实施项目,完成回款,移动广东MASS开发,正常结束,,2026-02-15 00:00:00
PROJ00000097,中国电信沪分-MASS-实施项目,收入确认,中国电信MASS需求,处理中,,2026-02-06 00:00:00
PROJ00000097,中国电信沪分-MASS-实施项目,收入确认,中国电信MASS开发,处理中,,2026-03-08 00:00:00
PROJ00000098,网易-数据工厂-实施项目,项目上线,网易DF需求,处理中,,2026-04-06 00:00:00
PROJ00000099,华能集团-数据工厂-实施项目,项目交付,华能集团DF需求,处理中,,2026-04-08 00:00:00
PROJ00000106,南京银行-CRM-实施项目,收入确认,南京银行CRM需求,处理中,,2026-03-09 00:00:00
PROJ00000107,阿里巴巴-MASS-实施项目,项目上线,阿里MASS需求,处理中,,2026-03-04 00:00:00
PROJ00000119,中行广东-BI-实施项目,项目交付,中行广东BI需求,处理中,,2026-04-10 00:00:00
PROJ00000001,国投中债-BI-实施项目,完成回款,工行北京BI故障分析,正常结束,,2026-01-18 00:00:00
PROJ00000001,国投中债-BI-实施项目,完成回款,工行北京BI故障处理,正常结束,,2026-01-20 00:00:00
PROJ00000011,平安银行-BI-实施项目,完成回款,平安银行BI故障分析,正常结束,,2026-02-08 00:00:00
PROJ00000022,浙大-BI-实施项目,完成回款,浙大BI故障分析,正常结束,,2026-04-13 00:00:00
PROJ00000022,浙大-BI-实施项目,完成回款,浙大BI故障处理,正常结束,,2026-04-15 00:00:00
PROJ00000015,武汉商行-BI-实施项目,完成回款,武汉商行BI故障分析,正常结束,,2026-04-11 00:00:00
PROJ00000055,福州银行-BI-实施项目,完成回款,福州银行BI故障分析,处理中,,2026-05-22 09:37:49.938468
